mode,seed,fused,fuse_time,final_R
sin,1,0,nan,0.6752518124400252
sin,2,0,nan,0.3055098616589092
sin,3,1,10.84,0.7709339207727959
sin,4,1,10.17,0.8060320249291638
sin,5,0,nan,0.6330351083955704
phi,1,1,8.870000000000001,0.8655398511198065
phi,2,0,nan,0.5303983290203143
phi,3,1,7.26,0.9731625790807071
phi,4,1,7.58,0.953795362536549
phi,5,1,10.76,0.7613122273485209
